file, segment, start, end, dur, filedur, mean_intensity
engl310_01_original,np,157.984,158.658,0.674,169.260,84.185,
engl310_01_original,pau,158.658,158.746,0.088,169.260,53.004,
engl310_01_original,ex,158.746,158.890,0.144,169.260,53.835,
engl310_01_original,cl,158.890,158.996,0.106,169.260,53.732,
engl310_01_original,in,158.996,159.213,0.217,169.260,63.078,
engl310_01_original,other: gl,159.213,159.244,0.031,169.260,71.305,
engl310_01_original,uh,159.244,159.378,0.134,169.260,86.270,
engl310_01_original,np,159.378,160.569,1.191,169.260,80.531,
engl310_01_original,pau,160.569,160.694,0.125,169.260,47.085,
engl310_01_original,uh,160.694,160.907,0.213,169.260,74.295,
engl310_01_original,other: gl,160.907,160.984,0.077,169.260,65.753,
engl310_01_original,np,160.984,162.441,1.457,169.260,85.373,
engl310_01_original,pau,162.441,162.751,0.310,169.260,48.412,
engl310_01_original,in,162.751,163.071,0.320,169.260,60.814,
engl310_01_original,pau,163.071,163.122,0.051,169.260,48.342,
engl310_01_original,np,163.122,163.698,0.575,169.260,81.457,
engl310_01_original,pau,163.698,164.162,0.464,169.260,45.096,
engl310_01_original,np,164.162,165.939,1.777,169.260,81.180,
engl310_01_original,pau,165.939,165.977,0.039,169.260,53.502,
engl310_01_original,in,165.977,166.227,0.250,169.260,61.105,
engl310_01_original,pau,166.227,166.269,0.042,169.260,48.693,
engl310_01_original,np,166.269,169.079,2.810,169.260,83.159,
engl310_01_original,pau,169.079,169.260,0.181,169.260,44.428,
engl310_01_synth_base,np,0,0.025,0.025,165.175,43.090,
engl310_01_synth_base,in,0.025,0.233,0.208,165.175,49.805,
engl310_01_synth_base,np,0.233,0.735,0.502,165.175,81.821,
engl310_01_synth_base,sil,0.735,0.943,0.208,165.175,32.691,
engl310_01_synth_base,np,0.943,2.481,1.538,165.175,79.485,
engl310_01_synth_base,sil,2.481,2.677,0.196,165.175,34.695,
engl310_01_synth_base,np,2.677,3.119,0.442,165.175,81.701,
engl310_01_synth_base,sil,3.119,3.389,0.270,165.175,33.254,
engl310_01_synth_base,np,3.389,4.782,1.393,165.175,78.221,
engl310_01_synth_base,in,4.782,5.103,0.321,165.175,48.658,
engl310_01_synth_base,uh,5.103,5.551,0.448,165.175,76.339,
engl310_01_synth_base,in,5.551,5.841,0.290,165.175,51.422,
engl310_01_synth_base,np,5.841,7.159,1.318,165.175,80.898,
engl310_01_synth_base,sil,7.159,7.319,0.159,165.175,33.545,
engl310_01_synth_base,np,7.319,7.999,0.681,165.175,80.850,
engl310_01_synth_base,in,7.999,8.287,0.287,165.175,54.125,
engl310_01_synth_base,uh,8.287,8.683,0.396,165.175,83.859,
engl310_01_synth_base,in,8.683,8.907,0.225,165.175,50.846,
engl310_01_synth_base,np,8.907,11.197,2.290,165.175,81.448,
engl310_01_synth_base,in,11.197,11.436,0.239,165.175,51.199,
engl310_01_synth_base,np,11.436,11.789,0.353,165.175,80.675,
engl310_01_synth_base,in,11.789,12.047,0.258,165.175,45.201,
engl310_01_synth_base,uh,12.047,12.424,0.377,165.175,77.903,
engl310_01_synth_base,in,12.424,12.670,0.246,165.175,43.849,
engl310_01_synth_base,np,12.670,14.192,1.522,165.175,76.304,
engl310_01_synth_base,sil,14.192,14.328,0.135,165.175,32.977,
engl310_01_synth_base,np,14.328,15.921,1.593,165.175,79.341,
engl310_01_synth_base,sil,15.921,16.020,0.099,165.175,29.801,
engl310_01_synth_base,np,16.020,16.605,0.585,165.175,78.052,
engl310_01_synth_base,in,16.605,16.783,0.179,165.175,47.113,
engl310_01_synth_base,np,16.783,18.511,1.727,165.175,77.505,
engl310_01_synth_base,in,18.511,18.854,0.343,165.175,39.509,
engl310_01_synth_base,sil,18.854,18.965,0.111,165.175,27.672,
engl310_01_synth_base,np,18.965,21.936,2.971,165.175,77.852,
engl310_01_synth_base,in,21.936,22.257,0.321,165.175,49.370,
engl310_01_synth_base,uh,22.257,22.547,0.290,165.175,78.759,
engl310_01_synth_base,np,22.547,23.440,0.894,165.175,78.864,
engl310_01_synth_base,sil,23.440,23.605,0.164,165.175,39.883,
engl310_01_synth_base,np,23.605,25.903,2.298,165.175,76.632,
engl310_01_synth_base,in,25.903,26.103,0.200,165.175,35.811,
engl310_01_synth_base,sil,26.103,26.258,0.155,165.175,24.792,
engl310_01_synth_base,cl,26.258,26.408,0.150,165.175,42.464,
engl310_01_synth_base,uh,26.408,26.760,0.353,165.175,73.456,
engl310_01_synth_base,in,26.760,27.055,0.295,165.175,48.807,
engl310_01_synth_base,sil,27.055,27.106,0.051,165.175,25.038,
engl310_01_synth_base,np,27.106,29.533,2.427,165.175,74.068,
engl310_01_synth_base,sil,29.533,30.694,1.162,165.175,27.793,
engl310_01_synth_base,cl,30.694,30.772,0.077,165.175,42.732,
engl310_01_synth_base,in,30.772,30.974,0.203,165.175,37.959,
engl310_01_synth_base,sil,30.974,31.013,0.039,165.175,30.870,
