Rec_Session_Id,Trial_Nr,Trial_Id,Block_Name,Block_Nr,Task_Name,Task_Nr,age,audiofile,Condition_Id,copy_of_factor1_tg1_task3_2585,copy_of_factor1_tg1_task3_75eb,ease,edu,factor1_tg1_task3,imphear,interest,L1,notes,prep,prolific,q1,q2,q3,self,test
736357,1,1,base,1,instructions,1,"","",1,"","","","","","","","","","",60bbca0b760a60569cbfaa75,"","","","",""
736357,1,3,base,1,base,2,"",engl310_13_synth_base.wav,3,"","","","",engl310_13_synth_base,"","","","","","",1,4,"","",""
736357,2,4,base,1,base,2,"",engl310_24_synth_base.wav,4,"","","","",engl310_24_synth_base,"","","","","","",3,4,"","",""
736357,3,1,base,1,base,2,"",engl310_01_synth_base.wav,1,"","","","",engl310_01_synth_base,"","","","","","",1,1,"","",""
736357,4,2,base,1,base,2,"",engl310_07_synth_base.wav,2,"","","","",engl310_07_synth_base,"","","","","","",4,2,"","",""
736357,1,1,base,1,questionnaire,3,20,"",1,"","",3,hs,"",no,4,eng,no,2,"","","","",int,none
736357,1,1,base,1,congratulations,4,"","",1,"","","","","","","","","","","","","","","",""
736421,1,1,nopints,1,nopints,2,"",engl310_01_synth_noPINTs.wav,1,"",engl310_01_synth_nopints,"","","","","","","","","",1,1,"","",""
736421,2,2,nopints,1,nopints,2,"",engl310_07_synth_noPINTs.wav,2,"",engl310_07_synth_nopints,"","","","","","","","","",2,4,"","",""
736421,3,3,nopints,1,nopints,2,"",engl310_13_synth_noPINTs.wav,3,"",engl310_13_synth_nopints,"","","","","","","","","",3,4,"","",""
736421,4,4,nopints,1,nopints,2,"",engl310_24_synth_noPINTs.wav,4,"",engl310_24_synth_nopints,"","","","","","","","","",3,3,"","",""
736421,1,1,nopints,1,instructions,1,"","",1,"","","","","","","","","","",641411a528128f75a52837fd,"","","","",""
736421,1,1,nopints,1,questionnaire,3,33,"",1,"","",2,uni,"",no,4,eng,no,3,"","","","",adv,none
736421,1,1,nopints,1,congratulations,4,"","",1,"","","","","","","","","","","","","","","",""
736422,1,1,sil_cg,1,instructions_computergen,1,"","",1,"","","","","","","","","","",5ceecd8f12495000011572be,"","","","",""
736422,1,3,sil_cg,1,silence,2,"",engl310_13_synth_sil.wav,3,engl310_13_synth_sil,"","","","","","","","","","",2,4,"","",""
736422,2,4,sil_cg,1,silence,2,"",engl310_24_synth_sil.wav,4,engl310_24_synth_sil,"","","","","","","","","","",2,4,"","",""
736422,3,1,sil_cg,1,silence,2,"",engl310_01_synth_sil.wav,1,engl310_01_synth_sil,"","","","","","","","","","",1,1,"","",""
736422,4,2,sil_cg,1,silence,2,"",engl310_07_synth_sil.wav,2,engl310_07_synth_sil,"","","","","","","","","","",1,2,"","",""
736422,1,1,sil_cg,1,questionnaire,3,53,"",1,"","",4,hs,"",no,2,eng,no,4,"","","","",adv,none
736422,1,1,sil_cg,1,congratulations,4,"","",1,"","","","","","","","","","","","","","","",""
736423,1,1,base_cg,1,instructions_computergen,1,"","",1,"","","","","","","","","","",5eeb58ec4c86582a76ff55ec,"","","","",""
736423,1,4,base_cg,1,base,2,"",engl310_24_synth_base.wav,4,"","","","",engl310_24_synth_base,"","","","","","",1,3,"","",""
736423,2,1,base_cg,1,base,2,"",engl310_01_synth_base.wav,1,"","","","",engl310_01_synth_base,"","","","","","",1,2,"","",""
736423,3,3,base_cg,1,base,2,"",engl310_13_synth_base.wav,3,"","","","",engl310_13_synth_base,"","","","","","",1,4,"","",""
736423,4,2,base_cg,1,base,2,"",engl310_07_synth_base.wav,2,"","","","",engl310_07_synth_base,"","","","","","",4,1,"","",""
736423,1,1,base_cg,1,questionnaire,3,26,"",1,"","",1,hs,"",no,1,eng,no,1,"","","","",adv,none
736423,1,1,base_cg,1,congratulations,4,"","",1,"","","","","","","","","","","","","","","",""
736424,1,1,sil,1,instructions,1,"","",1,"","","","","","","","","","",5b2a2d855b5c0900018b0bf5,"","","","",""
736424,1,3,sil,1,silence,2,"",engl310_13_synth_sil.wav,3,engl310_13_synth_sil,"","","","","","","","","","",1,4,"","",""
736424,2,1,sil,1,silence,2,"",engl310_01_synth_sil.wav,1,engl310_01_synth_sil,"","","","","","","","","","",1,3,"","",""
736424,3,4,sil,1,silence,2,"",engl310_24_synth_sil.wav,4,engl310_24_synth_sil,"","","","","","","","","","",3,4,"","",""
736424,4,2,sil,1,silence,2,"",engl310_07_synth_sil.wav,2,engl310_07_synth_sil,"","","","","","","","","","",2,2,"","",""
736424,1,1,sil,1,congratulations,4,"","",1,"","","","","","","","","","","","","","","",""
736424,1,1,sil,1,questionnaire,3,47,"",1,"","",2,other,"",no,2,eng,no,1,"","","","",adv,none
736425,1,1,nopints_cg,1,instructions_computergen,1,"","",1,"","","","","","","","","","",578950e925cb7100012895cf,"","","","",""
736425,1,2,nopints_cg,1,nopints,2,"",engl310_07_synth_noPINTs.wav,2,"",engl310_07_synth_nopints,"","","","","","","","","",4,4,"","",""
736425,2,4,nopints_cg,1,nopints,2,"",engl310_24_synth_noPINTs.wav,4,"",engl310_24_synth_nopints,"","","","","","","","","",2,3,"","",""
736425,3,3,nopints_cg,1,nopints,2,"",engl310_13_synth_noPINTs.wav,3,"",engl310_13_synth_nopints,"","","","","","","","","",2,4,"","",""
736425,4,1,nopints_cg,1,nopints,2,"",engl310_01_synth_noPINTs.wav,1,"",engl310_01_synth_nopints,"","","","","","","","","",2,1,"","",""
736425,1,1,nopints_cg,1,questionnaire,3,30,"",1,"","",2,hs,"",no,2,eng,no,3,"","","","",adv,none
736425,1,1,nopints_cg,1,congratulations,4,"","",1,"","","","","","","","","","","","","","","",""
736426,1,1,nopints_cg,1,instructions_computergen,1,"","",1,"","","","","","","","","","",62fb798b1ddb292112f82ad8,"","","","",""
