"file","segment","start","end","dur","filedur","mean_intensity","condition"
"engl310_01_original","o",128.312,128.709,0.397,169.26,75.121,"orig"
"engl310_01_original","sil",128.709,128.857,0.148,169.26,46.424,"orig"
"engl310_01_original","in",128.857,129.113,0.256,169.26,58.765,"orig"
"engl310_01_original","sil",129.113,129.162,0.049,169.26,49.636,"orig"
"engl310_01_original","sil",132.012,132.061,0.048,169.26,55.829,"orig"
"engl310_01_original","in",132.061,132.385,0.324,169.26,55.778,"orig"
"engl310_01_original","o",132.385,132.505,0.12,169.26,62.478,"orig"
"engl310_01_original","uh",132.505,132.838,0.333,169.26,82.906,"orig"
"engl310_01_original","sil",132.838,133.025,0.187,169.26,54.507,"orig"
"engl310_01_original","sil",134.923,135.245,0.322,169.26,46.879,"orig"
"engl310_01_original","uh",135.245,135.41,0.165,169.26,81.833,"orig"
"engl310_01_original","sil",136.8,136.83,0.03,169.26,47.08,"orig"
"engl310_01_original","in",136.83,136.967,0.137,169.26,49.756,"orig"
"engl310_01_original","sil",136.967,137.011,0.044,169.26,46.032,"orig"
"engl310_01_original","o",137.011,137.083,0.072,169.26,63.279,"orig"
"engl310_01_original","uh",137.083,137.238,0.156,169.26,81.41,"orig"
"engl310_01_original","in",137.513,137.653,0.14,169.26,53.115,"orig"
"engl310_01_original","sil",137.653,137.762,0.11,169.26,48.366,"orig"
"engl310_01_original","sil",138.836,138.864,0.028,169.26,56.026,"orig"
"engl310_01_original","in",138.864,139.153,0.289,169.26,52.42,"orig"
"engl310_01_original","sil",139.153,139.269,0.116,169.26,52.146,"orig"
"engl310_01_original","uh",139.269,139.54,0.271,169.26,78.152,"orig"
"engl310_01_original","uh",141.557,141.74,0.183,169.26,79.963,"orig"
"engl310_01_original","sil",145.341,146.29,0.949,169.26,44.186,"orig"
"engl310_01_original","cl",146.29,146.35,0.061,169.26,72.543,"orig"
"engl310_01_original","sil",146.35,146.44,0.09,169.26,44.075,"orig"
"engl310_01_original","uh",146.44,146.77,0.33,169.26,84.721,"orig"
"engl310_01_original","o",146.77,146.912,0.142,169.26,66.803,"orig"
