"id","condition","audiofile","age","ease","edu","imphear","interest","L1","notes","prep","self","test","question","answer","score","precede"
736445,"base_cg","engl310_13_synth_base.wav",21,3,"uni","no",4,"eng","no",3,"adv","none","q1",2,0,"yes"
736445,"base_cg","engl310_24_synth_base.wav",21,3,"uni","no",4,"eng","no",3,"adv","none","q1",3,1,"yes"
736445,"base_cg","engl310_01_synth_base.wav",21,3,"uni","no",4,"eng","no",3,"adv","none","q1",1,1,"no"
736447,"sil_cg","engl310_13_synth_sil.wav",26,2,"uni","no",3,"eng","no",2,"adv","none","q1",2,0,"yes"
736447,"sil_cg","engl310_07_synth_sil.wav",26,2,"uni","no",3,"eng","no",2,"adv","none","q1",4,1,"no"
736447,"sil_cg","engl310_24_synth_sil.wav",26,2,"uni","no",3,"eng","no",2,"adv","none","q1",1,0,"yes"
736447,"sil_cg","engl310_01_synth_sil.wav",26,2,"uni","no",3,"eng","no",2,"adv","none","q1",2,0,"no"
736449,"base","engl310_07_synth_base.wav",62,2,"uni","no",1,"eng","no",1,"adv","none","q1",4,1,"no"
736449,"base","engl310_24_synth_base.wav",62,2,"uni","no",1,"eng","no",1,"adv","none","q1",2,0,"yes"
736449,"base","engl310_13_synth_base.wav",62,2,"uni","no",1,"eng","no",1,"adv","none","q1",1,1,"yes"
736449,"base","engl310_01_synth_base.wav",62,2,"uni","no",1,"eng","no",1,"adv","none","q1",1,1,"no"
736450,"sil","engl310_07_synth_sil.wav",59,2,"uni","no",5,"eng","no",5,"adv","c1","q1",4,1,"no"
736450,"sil","engl310_01_synth_sil.wav",59,2,"uni","no",5,"eng","no",5,"adv","c1","q1",1,1,"no"
736450,"sil","engl310_13_synth_sil.wav",59,2,"uni","no",5,"eng","no",5,"adv","c1","q1",2,0,"yes"
736450,"sil","engl310_24_synth_sil.wav",59,2,"uni","no",5,"eng","no",5,"adv","c1","q1",2,0,"yes"
736451,"base","engl310_01_synth_base.wav",43,4,"hs","no",4,"eng","no",2,"adv","none","q1",1,1,"no"
736451,"base","engl310_24_synth_base.wav",43,4,"hs","no",4,"eng","no",2,"adv","none","q1",3,1,"yes"
736451,"base","engl310_13_synth_base.wav",43,4,"hs","no",4,"eng","no",2,"adv","none","q1",2,0,"yes"
736451,"base","engl310_07_synth_base.wav",43,4,"hs","no",4,"eng","no",2,"adv","none","q1",4,1,"no"
736452,"sil","engl310_01_synth_sil.wav",30,3,"hs","no",1,"eng","no",4,"adv","none","q1",2,0,"no"
736452,"sil","engl310_07_synth_sil.wav",30,3,"hs","no",1,"eng","no",4,"adv","none","q1",4,1,"no"
736452,"sil","engl310_13_synth_sil.wav",30,3,"hs","no",1,"eng","no",4,"adv","none","q1",1,1,"yes"
736452,"sil","engl310_24_synth_sil.wav",30,3,"hs","no",1,"eng","no",4,"adv","none","q1",1,0,"yes"
736453,"sil_cg","engl310_01_synth_sil.wav",54,3,"uni","no",3,"eng","no",3,"adv","none","q1",1,1,"no"
736453,"sil_cg","engl310_24_synth_sil.wav",54,3,"uni","no",3,"eng","no",3,"adv","none","q1",1,0,"yes"
736453,"sil_cg","engl310_13_synth_sil.wav",54,3,"uni","no",3,"eng","no",3,"adv","none","q1",1,1,"yes"
736453,"sil_cg","engl310_07_synth_sil.wav",54,3,"uni","no",3,"eng","no",3,"adv","none","q1",4,1,"no"
736454,"base_cg","engl310_01_synth_base.wav",49,2,"uni","no",3,"eng","no",2,"adv","a1","q1",1,1,"no"
736454,"base_cg","engl310_24_synth_base.wav",49,2,"uni","no",3,"eng","no",2,"adv","a1","q1",3,1,"yes"
736454,"base_cg","engl310_13_synth_base.wav",49,2,"uni","no",3,"eng","no",2,"adv","a1","q1",1,1,"yes"
736454,"base_cg","engl310_07_synth_base.wav",49,2,"uni","no",3,"eng","no",2,"adv","a1","q1",4,1,"no"
736458,"base_cg","engl310_07_synth_base.wav",26,2,"hs","no",4,"eng","no",2,"adv","none","q1",4,1,"no"
736458,"base_cg","engl310_24_synth_base.wav",26,2,"hs","no",4,"eng","no",2,"adv","none","q1",3,1,"yes"
736458,"base_cg","engl310_13_synth_base.wav",26,2,"hs","no",4,"eng","no",2,"adv","none","q1",2,0,"yes"
736458,"base_cg","engl310_01_synth_base.wav",26,2,"hs","no",4,"eng","no",2,"adv","none","q1",1,1,"no"
736459,"sil","engl310_13_synth_sil.wav",39,1,"uni","no",1,"eng","no",3,"adv","none","q1",2,0,"yes"
736459,"sil","engl310_24_synth_sil.wav",39,1,"uni","no",1,"eng","no",3,"adv","none","q1",2,0,"yes"
736459,"sil","engl310_07_synth_sil.wav",39,1,"uni","no",1,"eng","no",3,"adv","none","q1",4,1,"no"
736459,"sil","engl310_01_synth_sil.wav",39,1,"uni","no",1,"eng","no",3,"adv","none","q1",1,1,"no"
736460,"base","engl310_01_synth_base.wav",39,4,"other","no",3,"eng","no",3,"beg","none","q1",2,0,"no"
736460,"base","engl310_24_synth_base.wav",39,4,"other","no",3,"eng","no",3,"beg","none","q1",1,0,"yes"
736460,"base","engl310_13_synth_base.wav",39,4,"other","no",3,"eng","no",3,"beg","none","q1",1,1,"yes"
736460,"base","engl310_07_synth_base.wav",39,4,"other","no",3,"eng","no",3,"beg","none","q1",2,0,"no"
736462,"sil_cg","engl310_13_synth_sil.wav",49,2,"uni","no",4,"eng","no",2,"adv","none","q1",1,1,"yes"
736462,"sil_cg","engl310_07_synth_sil.wav",49,2,"uni","no",4,"eng","no",2,"adv","none","q1",4,1,"no"
736462,"sil_cg","engl310_01_synth_sil.wav",49,2,"uni","no",4,"eng","no",2,"adv","none","q1",1,1,"no"
736462,"sil_cg","engl310_24_synth_sil.wav",49,2,"uni","no",4,"eng","no",2,"adv","none","q1",3,1,"yes"
736463,"sil_cg","engl310_01_synth_sil.wav",21,1,"hs","no",1,"eng","no",3,"adv","none","q1",1,1,"no"
736463,"sil_cg","engl310_24_synth_sil.wav",21,1,"hs","no",1,"eng","no",3,"adv","none","q1",2,0,"yes"
736463,"sil_cg","engl310_13_synth_sil.wav",21,1,"hs","no",1,"eng","no",3,"adv","none","q1",2,0,"yes"
736463,"sil_cg","engl310_07_synth_sil.wav",21,1,"hs","no",1,"eng","no",3,"adv","none","q1",4,1,"no"
736464,"base","engl310_13_synth_base.wav",58,2,"uni","no",5,"eng","no",4,"adv","c1","q1",1,1,"yes"
736464,"base","engl310_07_synth_base.wav",58,2,"uni","no",5,"eng","no",4,"adv","c1","q1",4,1,"no"
736464,"base","engl310_24_synth_base.wav",58,2,"uni","no",5,"eng","no",4,"adv","c1","q1",3,1,"yes"
736464,"base","engl310_01_synth_base.wav",58,2,"uni","no",5,"eng","no",4,"adv","c1","q1",1,1,"no"
736466,"sil","engl310_01_synth_sil.wav",37,2,"hs","no",1,"eng","no",2,"adv","none","q1",1,1,"no"
736466,"sil","engl310_07_synth_sil.wav",37,2,"hs","no",1,"eng","no",2,"adv","none","q1",4,1,"no"
736466,"sil","engl310_24_synth_sil.wav",37,2,"hs","no",1,"eng","no",2,"adv","none","q1",2,0,"yes"
736466,"sil","engl310_13_synth_sil.wav",37,2,"hs","no",1,"eng","no",2,"adv","none","q1",1,1,"yes"
736467,"base_cg","engl310_07_synth_base.wav",21,2,"uni","no",2,"eng","no",1,"adv","none","q1",1,0,"no"
736467,"base_cg","engl310_24_synth_base.wav",21,2,"uni","no",2,"eng","no",1,"adv","none","q1",2,0,"yes"
736467,"base_cg","engl310_13_synth_base.wav",21,2,"uni","no",2,"eng","no",1,"adv","none","q1",1,1,"yes"
736467,"base_cg","engl310_01_synth_base.wav",21,2,"uni","no",2,"eng","no",1,"adv","none","q1",2,0,"no"
736469,"base_cg","engl310_24_synth_base.wav",40,3,"uni","no",4,"eng","no",4,"adv","none","q1",3,1,"yes"
